permno,adate,qdate,public_date,pe_exi,npm,opmad,roa,roe,de_ratio,intcov_ratio,curr_ratio,TICKER
16309,2020-12-31,2020-12-31,2021-03-31,131.648,0.290,0.172,0.076,0.298,1.718,,1.567,TTD
16309,2020-12-31,2020-12-31,2021-04-30,147.335,0.290,0.172,0.076,0.298,1.718,,1.567,TTD
16309,2020-12-31,2021-03-31,2021-05-31,12.102,0.269,0.158,0.082,0.294,1.533,,1.725,TTD
16309,2020-12-31,2021-03-31,2021-06-30,15.918,0.269,0.158,0.082,0.294,1.533,,1.725,TTD
16309,2020-12-31,2021-03-31,2021-07-31,16.854,0.269,0.158,0.082,0.294,1.533,,1.725,TTD
16309,2020-12-31,2021-06-30,2021-08-31,151.323,0.254,0.211,0.109,0.286,1.490,,1.690,TTD
16309,2020-12-31,2021-06-30,2021-09-30,132.892,0.254,0.211,0.109,0.286,1.490,,1.690,TTD
16309,2020-12-31,2021-06-30,2021-10-31,141.607,0.254,0.211,0.109,0.286,1.490,,1.690,TTD
16309,2020-12-31,2021-09-30,2021-11-30,183.044,0.251,0.229,0.114,0.273,1.420,,1.701,TTD
16309,2020-12-31,2021-09-30,2021-12-31,162.195,0.251,0.229,0.114,0.273,1.420,,1.701,TTD
16309,2020-12-31,2021-09-30,2022-01-31,123.080,0.251,0.229,0.114,0.273,1.420,,1.701,TTD
16309,2021-12-31,2021-12-31,2022-02-28,304.714,0.115,0.104,0.052,0.108,1.342,121.182,1.714,TTD
16309,2021-12-31,2021-12-31,2022-03-31,247.321,0.115,0.104,0.052,0.108,1.342,121.182,1.714,TTD
16309,2021-12-31,2021-12-31,2022-04-30,210.429,0.115,0.104,0.052,0.108,1.342,121.182,1.714,TTD
16309,2021-12-31,2022-03-31,2022-05-31,247.857,0.078,0.077,0.048,0.079,1.251,121.182,1.787,TTD
16309,2021-12-31,2022-03-31,2022-06-30,199.476,0.078,0.077,0.048,0.079,1.251,121.182,1.787,TTD
16309,2021-12-31,2022-03-31,2022-07-31,214.286,0.078,0.077,0.048,0.079,1.251,121.182,1.787,TTD
16309,2021-12-31,2022-06-30,2022-08-31,320.000,0.024,0.029,0.027,0.024,1.184,121.182,1.825,TTD
16309,2021-12-31,2022-06-30,2022-09-30,313.963,0.024,0.029,0.027,0.024,1.184,121.182,1.825,TTD
16309,2021-12-31,2022-06-30,2022-10-31,345.600,0.024,0.029,0.027,0.024,1.184,121.182,1.825,TTD
16309,2021-12-31,2022-09-30,2022-11-30,-1012.5,-0.007,-0.008,0.011,-0.006,1.126,121.182,1.862,TTD
16309,2021-12-31,2022-09-30,2022-12-31,-897.44,-0.007,-0.008,0.011,-0.006,1.126,121.182,1.862,TTD
16309,2021-12-31,2022-09-30,2023-01-31,-1078.8,-0.007,-0.008,0.011,-0.006,1.126,121.182,1.862,TTD
16309,2022-12-31,2022-12-31,2023-02-28,194.902,0.034,0.072,0.041,0.029,1.071,,1.895,TTD
16309,2022-12-31,2022-12-31,2023-03-31,230.000,0.034,0.072,0.041,0.029,1.071,,1.895,TTD
16309,2022-12-31,2022-12-31,2023-04-30,224.929,0.034,0.072,0.041,0.029,1.071,,1.895,TTD
16309,2022-12-31,2023-03-31,2023-05-31,277.125,0.047,0.065,0.044,0.041,1.061,,1.906,TTD
