,permno,public_date,pe_exi,npm,opmad,roa,roe,de_ratio,intcov_ratio,curr_ratio,TICKER,year,Revenue,EPS
12318,49154,2019-03-31,14.593,0.039,0.055,0.164,0.237,2.655,8.915,0.834,TGT,2019,78112.0,6.39
12319,49154,2019-04-30,14.076,0.039,0.055,0.164,0.237,2.655,8.915,0.834,TGT,2019,78112.0,6.39
12320,49154,2019-05-31,14.627,0.039,0.055,0.164,0.237,2.655,8.915,0.834,TGT,2019,78112.0,6.39
12321,49154,2019-06-30,15.195,0.039,0.055,0.163,0.249,2.705,9.021,0.839,TGT,2019,78112.0,6.39
12322,49154,2019-07-31,15.158,0.039,0.055,0.163,0.249,2.705,9.021,0.839,TGT,2019,78112.0,6.39
12323,49154,2019-08-31,18.779,0.039,0.055,0.163,0.249,2.705,9.021,0.839,TGT,2019,78112.0,6.39
12324,49154,2019-09-30,17.759,0.041,0.057,0.167,0.259,2.685,9.349,0.845,TGT,2019,78112.0,6.39
12325,49154,2019-10-31,17.759,0.041,0.057,0.167,0.259,2.685,9.349,0.845,TGT,2019,78112.0,6.39
12326,49154,2019-11-30,20.766,0.041,0.057,0.167,0.259,2.685,9.349,0.845,TGT,2019,78112.0,6.39
12327,49154,2019-12-31,20.579,0.042,0.059,0.171,0.262,2.651,9.761,0.845,TGT,2019,78112.0,6.39
12328,49154,2020-01-31,17.775,0.042,0.059,0.171,0.262,2.651,9.761,0.845,TGT,2020,93561.0,8.72
12329,49154,2020-02-29,16.533,0.042,0.059,0.171,0.262,2.651,9.761,0.845,TGT,2020,93561.0,8.72
12330,49154,2020-03-31,14.664,0.042,0.059,0.172,0.259,2.615,9.938,0.891,TGT,2020,93561.0,8.72
12331,49154,2020-04-30,17.309,0.042,0.059,0.172,0.259,2.615,9.938,0.891,TGT,2020,93561.0,8.72
12332,49154,2020-05-31,19.295,0.042,0.059,0.172,0.259,2.615,9.938,0.891,TGT,2020,93561.0,8.72
12333,49154,2020-06-30,22.292,0.034,0.052,0.161,0.217,2.727,9.148,0.893,TGT,2020,93561.0,8.72
12334,49154,2020-07-31,23.398,0.034,0.052,0.161,0.217,2.727,9.148,0.893,TGT,2020,93561.0,8.72
12335,49154,2020-08-31,28.106,0.034,0.052,0.161,0.217,2.727,9.148,0.893,TGT,2020,93561.0,8.72
12336,49154,2020-09-30,22.781,0.041,0.061,0.179,0.276,2.805,11.233,0.96,TGT,2020,93561.0,8.72
12337,49154,2020-10-31,22.029,0.041,0.061,0.179,0.276,2.805,11.233,0.96,TGT,2020,93561.0,8.72
12338,49154,2020-11-30,25.981,0.041,0.061,0.179,0.276,2.805,11.233,0.96,TGT,2020,93561.0,8.72
12339,49154,2020-12-31,23.412,0.043,0.069,0.193,0.296,2.809,13.081,1.02,TGT,2020,93561.0,8.72
12340,49154,2021-01-31,24.028,0.043,0.069,0.193,0.296,2.809,13.081,1.02,TGT,2021,106005.0,14.23
12341,49154,2021-02-28,24.329,0.043,0.069,0.193,0.296,2.809,13.081,1.02,TGT,2021,106005.0,14.23
12342,49154,2021-03-31,22.925,0.047,0.072,0.197,0.308,2.549,14.548,1.031,TGT,2021,106005.0,14.23
12343,49154,2021-04-30,23.988,0.047,0.072,0.197,0.308,2.549,14.548,1.031,TGT,2021,106005.0,14.23
12344,49154,2021-05-31,26.264,0.047,0.072,0.197,0.308,2.549,14.548,1.031,TGT,2021,106005.0,14.23
12345,49154,2021-06-30,19.718,0.063,0.086,0.225,0.442,2.624,18.542,1.063,TGT,2021,106005.0,14.23
12346,49154,2021-07-31,21.293,0.063,0.086,0.225,0.442,2.624,18.542,1.063,TGT,2021,106005.0,14.23
12347,49154,2021-08-31,20.145,0.063,0.086,0.225,0.442,2.624,18.542,1.063,TGT,2021,106005.0,14.23
12348,49154,2021-09-30,18.214,0.063,0.086,0.223,0.422,2.539,19.685,1.048,TGT,2021,106005.0,14.23
12349,49154,2021-10-31,20.67,0.063,0.086,0.223,0.422,2.539,19.685,1.048,TGT,2021,106005.0,14.23
12350,49154,2021-11-30,19.414,0.063,0.086,0.223,0.422,2.539,19.685,1.048,TGT,2021,106005.0,14.23
12351,49154,2021-12-31,17.018,0.066,0.084,0.222,0.437,2.574,20.56,1.025,TGT,2021,106005.0,14.23
12352,49154,2022-01-31,16.208,0.066,0.084,0.222,0.437,2.574,20.56,1.025,TGT,2022,109120.0,6.02
12353,49154,2022-02-28,14.689,0.066,0.084,0.222,0.437,2.574,20.56,1.025,TGT,2022,109120.0,6.02
12354,49154,2022-03-31,15.051,0.066,0.084,0.221,0.466,3.195,21.249,0.992,TGT,2022,109120.0,6.02
12355,49154,2022-04-30,16.216,0.066,0.084,0.221,0.466,3.195,21.249,0.992,TGT,2022,109120.0,6.02
12356,49154,2022-05-31,11.481,0.066,0.084,0.221,0.466,3.195,21.249,0.992,TGT,2022,109120.0,6.02
12357,49154,2022-06-30,11.711,0.055,0.074,0.201,0.381,3.027,18.631,0.966,TGT,2022,109120.0,6.02
12358,49154,2022-07-31,13.547,0.055,0.074,0.201,0.381,3.027,18.631,0.966,TGT,2022,109120.0,6.02
